Date,MSFT,Microsoft Corporation,Microsoft
2015-01-01,0.44999999999999996,30.240000000000002,41.28
2015-01-02,1.95,0.0,45.58
2015-01-03,2.85,0.0,45.58
2015-01-04,0.3,0.0,45.58
2015-01-05,3.9,45.36000000000001,57.62
2015-01-06,3.3,22.400000000000002,62.78
2015-01-07,3.75,44.800000000000004,61.06
2015-01-08,2.4,22.400000000000002,56.76
2015-01-09,2.1,22.96,59.339999999999996
2015-01-10,1.5,27.44,44.72
2015-01-11,0.75,0.0,45.58
2015-01-12,2.85,43.68000000000001,61.92
2015-01-13,2.55,0.0,65.36
2015-01-14,3.9,33.040000000000006,67.08
2015-01-15,2.85,21.840000000000003,62.78
2015-01-16,2.1,22.96,57.62
2015-01-17,1.05,56.00000000000001,41.28
2015-01-18,0.0,28.000000000000004,44.72
2015-01-19,0.8999999999999999,23.520000000000003,55.04
2015-01-20,2.85,33.040000000000006,59.339999999999996
2015-01-21,5.1,21.840000000000003,72.24
2015-01-22,5.3999999999999995,21.840000000000003,86.0
2015-01-23,5.7,22.400000000000002,74.82
2015-01-24,2.55,26.880000000000003,53.32
2015-01-25,1.05,54.32000000000001,55.04
2015-01-26,6.6,43.68000000000001,67.08
2015-01-27,15.0,21.28,69.66
2015-01-28,9.45,32.480000000000004,67.94
2015-01-29,6.1499999999999995,33.040000000000006,68.8
2015-01-30,6.75,0.0,61.92
2015-01-31,2.85,39.760000000000005,49.019999999999996
2015-02-01,3.25,14.4,59.64
2015-02-02,10.530000000000001,80.0,84.0
2015-02-03,11.700000000000001,11.200000000000001,84.0
2015-02-04,10.530000000000001,34.4,84.0
2015-02-05,9.75,23.200000000000003,82.32
2015-02-06,9.620000000000001,12.0,76.44
2015-02-07,4.8100000000000005,0.0,54.6
2015-02-08,2.6,0.0,57.96
2015-02-09,6.37,0.0,77.28
2015-02-10,13.0,34.4,78.11999999999999
2015-02-11,3.5100000000000002,0.0,78.96
2015-02-12,9.620000000000001,34.4,80.64
2015-02-13,8.06,12.0,73.08
2015-02-14,3.77,29.6,52.919999999999995
2015-02-15,1.9500000000000002,29.6,55.44
2015-02-16,5.07,24.8,73.92
2015-02-17,8.58,0.0,73.92
2015-02-18,7.15,35.2,80.64
2015-02-19,5.98,35.2,75.6
2015-02-20,9.620000000000001,12.0,71.39999999999999
2015-02-21,3.64,0.0,57.12
2015-02-22,1.82,0.0,57.12
2015-02-23,6.11,33.6,73.08
2015-02-24,4.68,11.200000000000001,82.32
2015-02-25,5.59,23.200000000000003,77.28
2015-02-26,5.33,12.0,79.8
2015-02-27,6.63,23.200000000000003,67.2
2015-02-28,1.82,0.0,55.44
2015-03-01,1.43,49.0,57.6
2015-03-02,5.17,13.23,78.4
2015-03-03,8.58,13.23,78.4
2015-03-04,4.07,13.23,76.80000000000001
2015-03-05,6.6,33.32,76.0
2015-03-06,3.96,13.719999999999999,70.4
2015-03-07,2.97,0.0,52.800000000000004
2015-03-08,1.43,17.15,55.2
2015-03-09,6.71,13.719999999999999,76.0
2015-03-10,7.59,13.23,80.0
2015-03-11,7.37,0.0,76.80000000000001
2015-03-12,8.03,13.719999999999999,74.4
2015-03-13,11.0,42.63,70.4
2015-03-14,4.07,0.0,49.6
2015-03-15,2.31,0.0,55.2
2015-03-16,8.47,41.16,75.2
2015-03-17,7.37,26.95,76.80000000000001
2015-03-18,7.7,13.719999999999999,80.0
2015-03-19,5.72,13.719999999999999,78.4
2015-03-20,7.48,13.719999999999999,70.4
2015-03-21,2.2,0.0,46.400000000000006
2015-03-22,3.74,33.81,52.0
2015-03-23,5.5,26.95,77.60000000000001
2015-03-24,5.61,40.67,75.2
2015-03-25,4.95,46.06,75.2
2015-03-26,5.28,16.169999999999998,78.4
2015-03-27,6.82,14.209999999999999,68.8
2015-03-28,3.3,0.0,46.400000000000006
2015-03-29,2.42,18.62,50.400000000000006
2015-03-30,6.6,13.719999999999999,72.8
2015-03-31,9.35,0.0,78.4
2015-04-01,4.930000000000001,26.979999999999997,63.84
2015-04-02,3.91,18.46,67.64
2015-04-03,2.72,29.82,55.480000000000004
2015-04-04,1.02,71.0,42.56
2015-04-05,1.7000000000000002,24.849999999999998,41.04
2015-04-06,4.08,37.629999999999995,64.6
2015-04-07,3.91,35.5,63.08
2015-04-08,4.760000000000001,26.979999999999997,68.4
2015-04-09,3.2300000000000004,26.979999999999997,63.84
2015-04-10,3.5700000000000003,18.46,57.76
2015-04-11,1.7000000000000002,46.86,41.8
2015-04-12,0.68,23.43,46.36
2015-04-13,3.91,17.75,63.08
2015-04-14,4.25,0.0,63.84
2015-04-15,3.5700000000000003,17.75,66.88
2015-04-16,3.2300000000000004,35.5,63.08
2015-04-17,3.91,28.4,59.28
2015-04-18,0.8500000000000001,23.43,43.32
2015-04-19,0.8500000000000001,23.43,43.32
2015-04-20,4.760000000000001,17.75,63.08
2015-04-21,5.44,53.25,68.4
2015-04-22,4.590000000000001,0.0,65.36
2015-04-23,9.01,53.25,66.88
2015-04-24,17.0,0.0,63.08
2015-04-25,5.1000000000000005,23.43,41.04
2015-04-26,2.3800000000000003,23.43,44.08
2015-04-27,4.590000000000001,26.979999999999997,66.12
2015-04-28,7.140000000000001,71.0,60.8
2015-04-29,7.65,44.73,72.2
2015-04-30,6.29,18.46,76.0
2015-05-01,9.719999999999999,0.0,77.0
2015-05-02,5.279999999999999,0.0,54.67
2015-05-03,4.32,26.349999999999998,50.050000000000004
2015-05-04,7.319999999999999,20.4,73.15
2015-05-05,11.16,0.0,73.92
2015-05-06,10.559999999999999,0.0,76.23
2015-05-07,5.3999999999999995,0.0,69.3
2015-05-08,12.0,22.099999999999998,67.76
2015-05-09,5.279999999999999,0.0,45.43
2015-05-10,1.7999999999999998,28.05,46.97
2015-05-11,8.16,62.9,72.38
2015-05-12,12.0,0.0,70.84
2015-05-13,8.04,20.4,75.46000000000001
2015-05-14,6.0,41.65,73.15
2015-05-15,4.2,0.0,68.53
2015-05-16,2.6399999999999997,0.0,44.660000000000004
2015-05-17,1.7999999999999998,0.0,46.2
2015-05-18,11.4,41.65,69.3
2015-05-19,6.84,41.65,70.07000000000001
2015-05-20,4.68,0.0,73.92
2015-05-21,7.08,22.099999999999998,70.84
2015-05-22,4.4399999999999995,22.95,62.370000000000005
2015-05-23,3.7199999999999998,0.0,46.2
2015-05-24,0.0,58.65,40.81
2015-05-25,1.7999999999999998,0.0,50.050000000000004
2015-05-26,4.08,41.65,66.22
2015-05-27,6.72,0.0,76.23
2015-05-28,11.04,85.0,72.38
2015-05-29,7.199999999999999,22.099999999999998,65.45
2015-05-30,3.5999999999999996,0.0,45.43
2015-05-31,2.6399999999999997,83.3,46.2
2015-06-01,7.9,8.32,65.60000000000001
2015-06-02,7.2,8.58,68.8
2015-06-03,5.9,13.0,69.60000000000001
2015-06-04,7.1000000000000005,0.0,64.0
2015-06-05,7.0,9.1,62.400000000000006
2015-06-06,2.4000000000000004,11.440000000000001,44.800000000000004
2015-06-07,4.0,0.0,44.0
2015-06-08,7.4,8.84,64.8
2015-06-09,4.4,8.58,66.4
2015-06-10,6.800000000000001,8.84,72.0
2015-06-11,5.800000000000001,0.0,67.2
2015-06-12,5.5,9.36,59.2
2015-06-13,2.9000000000000004,11.440000000000001,44.0
2015-06-14,4.4,0.0,40.0
2015-06-15,7.4,17.68,80.0
2015-06-16,4.1000000000000005,17.68,76.0
2015-06-17,10.0,8.84,72.0
2015-06-18,8.6,8.84,68.0
2015-06-19,8.700000000000001,0.0,61.6
2015-06-20,1.4000000000000001,11.18,43.2
2015-06-21,1.9000000000000001,0.0,42.400000000000006
2015-06-22,7.1000000000000005,0.0,64.0
2015-06-23,4.800000000000001,26.0,64.0
2015-06-24,7.1000000000000005,13.26,68.8
2015-06-25,6.800000000000001,8.84,64.0
2015-06-26,5.1000000000000005,0.0,60.800000000000004
2015-06-27,1.9000000000000001,0.0,43.2
2015-06-28,2.9000000000000004,0.0,42.400000000000006
2015-06-29,5.300000000000001,8.84,62.400000000000006
2015-06-30,8.9,8.84,67.2
2015-07-01,4.0,32.43,53.82
2015-07-02,3.2,16.45,49.92
2015-07-03,1.76,19.74,39.0
2015-07-04,1.44,0.0,31.98
2015-07-05,1.12,45.12,32.76
2015-07-06,4.64,15.979999999999999,49.14
2015-07-07,4.0,15.979999999999999,56.940000000000005
2015-07-08,7.04,31.959999999999997,56.160000000000004
2015-07-09,7.5200000000000005,15.979999999999999,58.5
2015-07-10,4.96,16.919999999999998,48.36
2015-07-11,1.76,0.0,32.76
2015-07-12,1.28,0.0,35.1
2015-07-13,4.64,47.0,49.92
2015-07-14,4.0,15.51,50.7
2015-07-15,5.76,0.0,56.160000000000004
2015-07-16,4.8,16.45,53.82
2015-07-17,5.12,0.0,52.260000000000005
2015-07-18,1.92,0.0,35.88
2015-07-19,0.8,0.0,36.660000000000004
2015-07-20,6.4,0.0,56.940000000000005
2015-07-21,16.0,15.979999999999999,58.5
2015-07-22,15.200000000000001,15.979999999999999,57.72
2015-07-23,6.4,0.0,55.38
2015-07-24,5.12,16.919999999999998,47.58
2015-07-25,1.76,0.0,36.660000000000004
2015-07-26,1.6,0.0,35.88
2015-07-27,5.6000000000000005,15.51,51.480000000000004
2015-07-28,4.8,15.979999999999999,56.160000000000004
2015-07-29,5.28,15.979999999999999,74.88
2015-07-30,6.72,15.979999999999999,78.0
2015-07-31,4.32,16.45,63.96
2015-08-01,4.16,0.0,64.08
2015-08-02,2.99,73.0,66.75
2015-08-03,8.06,28.47,83.66
2015-08-04,6.37,0.0,82.77
2015-08-05,7.67,56.21,82.77
2015-08-06,6.24,56.94,83.66
2015-08-07,6.11,58.4,73.87
2015-08-08,2.99,35.769999999999996,59.63
2015-08-09,0.78,0.0,60.52
2015-08-10,6.24,56.94,80.1
2015-08-11,7.0200000000000005,0.0,85.44
2015-08-12,5.8500000000000005,27.74,83.66
2015-08-13,8.71,0.0,79.21000000000001
2015-08-14,6.76,29.2,76.54
2015-08-15,2.21,35.04,56.96
2015-08-16,1.9500000000000002,0.0,59.63
2015-08-17,6.5,56.21,81.88
2015-08-18,5.8500000000000005,0.0,83.66
2015-08-19,7.800000000000001,0.0,85.44
2015-08-20,7.54,0.0,82.77
2015-08-21,8.06,0.0,78.32000000000001
2015-08-22,1.4300000000000002,35.769999999999996,57.85
2015-08-23,0.78,35.04,64.97
2015-08-24,12.22,54.75,85.44
2015-08-25,13.0,27.009999999999998,88.11
2015-08-26,8.450000000000001,27.009999999999998,89.0
2015-08-27,10.530000000000001,54.019999999999996,86.33
2015-08-28,6.5,0.0,77.43
2015-08-29,2.6,34.31,62.300000000000004
2015-08-30,1.82,0.0,59.63
2015-08-31,7.15,27.009999999999998,84.55
2015-09-01,10.78,45.54,89.10000000000001
2015-09-02,10.01,69.0,83.7
2015-09-03,9.790000000000001,57.959999999999994,83.7
2015-09-04,10.12,0.0,72.9
2015-09-05,4.18,60.029999999999994,54.9
2015-09-06,2.2,46.23,53.1
2015-09-07,2.53,28.29,67.5
2015-09-08,7.59,22.08,82.8
2015-09-09,8.58,33.12,88.2
2015-09-10,10.56,44.849999999999994,90.0
2015-09-11,8.03,46.23,76.5
2015-09-12,3.08,0.0,55.800000000000004
2015-09-13,2.97,28.29,57.6
2015-09-14,9.13,56.58,75.60000000000001
2015-09-15,11.0,0.0,83.7
2015-09-16,9.02,67.61999999999999,82.8
2015-09-17,8.25,44.849999999999994,79.2
2015-09-18,7.37,23.459999999999997,74.7
2015-09-19,3.63,0.0,55.800000000000004
2015-09-20,3.08,0.0,54.9
2015-09-21,5.83,55.199999999999996,81.9
2015-09-22,6.6,22.08,85.5
2015-09-23,8.25,44.849999999999994,83.7
2015-09-24,6.71,33.809999999999995,82.8
2015-09-25,6.6,23.459999999999997,73.8
2015-09-26,3.63,58.65,50.4
2015-09-27,3.08,0.0,55.800000000000004
2015-09-28,9.13,22.08,74.7
2015-09-29,7.26,0.0,81.0
2015-09-30,7.37,33.12,81.9
2015-10-01,3.36,0.0,62.1
2015-10-02,1.6,20.8,54.9
2015-10-03,1.6,0.0,42.300000000000004
2015-10-04,3.2,17.68,44.1
2015-10-05,2.08,13.52,62.1
2015-10-06,7.84,20.28,90.0
2015-10-07,7.36,0.0,84.60000000000001
2015-10-08,3.36,13.52,70.2
2015-10-09,3.52,21.32,63.9
2015-10-10,2.08,18.2,46.800000000000004
2015-10-11,2.08,18.2,42.300000000000004
2015-10-12,3.2,0.0,62.1
2015-10-13,4.16,13.0,64.8
2015-10-14,2.72,13.52,63.0
2015-10-15,3.36,27.04,63.0
2015-10-16,3.2,0.0,58.5
2015-10-17,0.8,26.52,43.2
2015-10-18,0.32,17.16,46.800000000000004
2015-10-19,1.44,26.52,63.0
2015-10-20,5.28,52.0,64.8
2015-10-21,3.84,39.52,65.7
2015-10-22,9.120000000000001,13.52,64.8
2015-10-23,16.0,41.6,59.4
2015-10-24,4.32,34.32,39.6
2015-10-25,2.24,0.0,45.9
2015-10-26,7.68,13.0,63.9
2015-10-27,6.4,25.48,67.5
2015-10-28,4.96,12.48,63.9
2015-10-29,3.2,26.0,60.300000000000004
2015-10-30,4.16,28.080000000000002,58.5
2015-10-31,2.4,17.68,40.5
2015-11-01,2.3000000000000003,15.93,50.15
2015-11-02,7.4,23.009999999999998,68.0
2015-11-03,10.0,0.0,71.39999999999999
2015-11-04,8.9,11.799999999999999,72.25
2015-11-05,6.9,35.4,73.1
2015-11-06,4.4,23.599999999999998,68.0
2015-11-07,1.2000000000000002,0.0,47.6
2015-11-08,1.5,0.0,48.449999999999996
2015-11-09,4.9,11.799999999999999,67.14999999999999
2015-11-10,6.7,34.22,71.39999999999999
2015-11-11,6.4,0.0,67.14999999999999
2015-11-12,3.9000000000000004,24.189999999999998,73.95
2015-11-13,4.0,12.389999999999999,66.3
2015-11-14,1.5,0.0,47.6
2015-11-15,1.2000000000000002,15.34,50.15
2015-11-16,5.9,0.0,68.85
2015-11-17,4.4,11.209999999999999,72.25
2015-11-18,3.8000000000000003,0.0,73.95
2015-11-19,4.0,23.009999999999998,71.39999999999999
2015-11-20,3.9000000000000004,12.389999999999999,68.85
2015-11-21,2.2,0.0,49.3
2015-11-22,1.8,0.0,51.0
2015-11-23,5.300000000000001,47.79,68.0
2015-11-24,4.9,12.389999999999999,72.25
2015-11-25,4.800000000000001,12.979999999999999,61.199999999999996
2015-11-26,1.6,0.0,71.39999999999999
2015-11-27,2.0,0.0,72.25
2015-11-28,3.1,0.0,55.25
2015-11-29,0.9,59.0,56.949999999999996
2015-11-30,6.9,0.0,85.0
2015-12-01,7.26,35.25,83.0
2015-12-02,6.49,27.0,79.67999999999999
2015-12-03,7.15,18.0,77.19
2015-12-04,11.0,75.0,70.55
2015-12-05,3.85,48.0,55.61
2015-12-06,2.09,59.25,53.12
2015-12-07,3.85,18.0,77.19
2015-12-08,8.36,36.0,73.86999999999999
2015-12-09,6.82,27.0,76.36
2015-12-10,6.6,18.75,77.19
2015-12-11,6.16,48.0,71.38
2015-12-12,2.97,36.0,53.12
2015-12-13,4.62,24.0,53.12
2015-12-14,6.49,54.75,68.06
2015-12-15,8.58,27.75,69.72
2015-12-16,7.15,28.5,71.38
2015-12-17,9.13,0.0,67.22999999999999
2015-12-18,8.91,21.0,64.74
2015-12-19,5.39,0.0,49.8
2015-12-20,1.87,25.5,48.97
2015-12-21,7.04,0.0,63.91
2015-12-22,6.2700000000000005,0.0,66.39999999999999
2015-12-23,4.29,33.0,61.419999999999995
2015-12-24,3.96,24.75,47.309999999999995
2015-12-25,3.63,42.75,64.74
2015-12-26,2.75,25.5,61.419999999999995
2015-12-27,1.76,0.0,51.46
2015-12-28,4.07,21.0,63.08
2015-12-29,9.68,31.5,67.22999999999999
2015-12-30,5.28,32.25,63.91
2015-12-31,7.48,21.75,55.61
2016-01-01,0.44999999999999996,0.0,41.480000000000004
2016-01-02,0.75,10.92,42.160000000000004
2016-01-03,0.3,10.5,42.84
2016-01-04,4.95,8.82,62.56
2016-01-05,4.05,9.24,65.96000000000001
2016-01-06,3.5999999999999996,9.24,64.60000000000001
2016-01-07,6.1499999999999995,13.44,61.2
2016-01-08,7.05,9.24,59.84
2016-01-09,1.65,10.5,42.84
2016-01-10,1.7999999999999998,0.0,43.52
2016-01-11,3.15,17.22,60.52
2016-01-12,5.1,26.459999999999997,65.28
2016-01-13,5.55,35.28,65.28
2016-01-14,4.2,8.4,59.160000000000004
2016-01-15,5.25,0.0,61.88
2016-01-16,1.5,10.5,45.56
2016-01-17,0.8999999999999999,20.16,45.56
2016-01-18,1.95,13.86,60.52
2016-01-19,2.85,26.459999999999997,66.64
2016-01-20,5.1,17.64,65.96000000000001
2016-01-21,6.0,26.459999999999997,63.92
2016-01-22,4.05,8.82,59.84
2016-01-23,1.3499999999999999,10.5,45.56
2016-01-24,1.2,20.58,46.24
2016-01-25,3.9,8.82,62.56
2016-01-26,6.3,8.82,67.32000000000001
2016-01-27,6.0,17.64,67.32000000000001
2016-01-28,10.799999999999999,8.82,68.0
2016-01-29,15.0,27.3,61.88
2016-01-30,3.4499999999999997,10.92,44.88
2016-01-31,2.1,42.0,48.28
2016-02-01,7.92,8.76,63.92
2016-02-02,12.0,8.76,66.64
2016-02-03,8.04,73.0,68.0
2016-02-04,8.64,18.25,64.60000000000001
2016-02-05,8.52,18.25,59.84
2016-02-06,5.88,21.9,45.56
2016-02-07,2.16,0.0,43.52
2016-02-08,11.4,8.76,57.120000000000005
2016-02-09,10.559999999999999,0.0,63.24
2016-02-10,7.92,8.76,65.28
2016-02-11,11.04,18.25,63.92
2016-02-12,9.24,28.47,59.84
2016-02-13,2.52,0.0,44.2
2016-02-14,1.56,0.0,41.480000000000004
2016-02-15,3.84,9.49,56.440000000000005
2016-02-16,7.56,27.009999999999998,61.88
2016-02-17,8.04,8.76,60.52
2016-02-18,7.4399999999999995,8.76,59.84
2016-02-19,6.24,9.49,56.440000000000005
2016-02-20,1.68,10.95,42.160000000000004
2016-02-21,1.56,10.95,42.84
2016-02-22,6.6,26.28,59.84
2016-02-23,8.4,27.009999999999998,65.28
2016-02-24,6.84,17.52,63.24
2016-02-25,9.84,18.25,61.2
2016-02-26,6.12,0.0,58.480000000000004
2016-02-27,2.6399999999999997,0.0,40.800000000000004
2016-02-28,0.96,0.0,42.84
2016-02-29,4.68,0.0,58.480000000000004
2016-03-01,6.5,10.0,61.41
2016-03-02,5.9,25.0,60.029999999999994
2016-03-03,7.800000000000001,10.5,61.41
2016-03-04,9.4,10.5,60.029999999999994
2016-03-05,0.7000000000000001,0.0,47.61
2016-03-06,1.7000000000000002,24.5,46.919999999999995
2016-03-07,7.5,10.5,60.029999999999994
2016-03-08,6.6000000000000005,30.5,63.48
2016-03-09,8.6,15.5,63.48
2016-03-10,8.1,31.0,61.41
2016-03-11,9.9,21.5,60.72
2016-03-12,2.1,50.0,45.54
2016-03-13,1.4000000000000001,12.5,42.779999999999994
2016-03-14,9.9,10.5,60.72
2016-03-15,7.5,26.0,65.55
2016-03-16,7.800000000000001,10.5,61.41
2016-03-17,7.6000000000000005,0.0,57.959999999999994
2016-03-18,8.9,0.0,60.029999999999994
2016-03-19,3.2,12.5,39.33
2016-03-20,1.4000000000000001,12.5,42.779999999999994
2016-03-21,7.300000000000001,21.0,65.55
2016-03-22,7.7,21.0,62.78999999999999
2016-03-23,8.9,10.5,63.48
2016-03-24,8.700000000000001,21.5,66.92999999999999
2016-03-25,2.5,11.5,63.48
2016-03-26,2.1,13.0,47.61
2016-03-27,1.1,13.5,44.16
2016-03-28,9.600000000000001,16.0,66.24
2016-03-29,10.0,10.5,66.24
2016-03-30,9.5,10.5,69.0
2016-03-31,6.2,10.5,63.48
2016-04-01,2.85,19.5,63.36
2016-04-02,0.8999999999999999,0.0,40.96
2016-04-03,0.8999999999999999,22.62,42.88
2016-04-04,3.4499999999999997,38.22,60.160000000000004
2016-04-05,3.0,28.080000000000002,56.96
2016-04-06,4.05,38.22,62.72
2016-04-07,3.15,38.22,57.6
2016-04-08,3.4499999999999997,39.0,54.4
2016-04-09,0.75,0.0,42.24
2016-04-10,0.75,0.0,43.52
2016-04-11,2.55,28.080000000000002,64.0
2016-04-12,4.05,0.0,58.24
2016-04-13,3.5999999999999996,28.86,59.52
2016-04-14,3.4499999999999997,0.0,58.88
2016-04-15,3.15,0.0,53.76
2016-04-16,1.3499999999999999,23.400000000000002,40.32
2016-04-17,0.8999999999999999,24.18,44.800000000000004
2016-04-18,5.25,38.22,57.6
2016-04-19,4.8,18.72,58.24
2016-04-20,4.6499999999999995,18.72,58.88
2016-04-21,12.0,46.800000000000004,55.68
2016-04-22,15.0,39.0,56.32
2016-04-23,4.2,23.400000000000002,35.84
2016-04-24,1.65,35.1,40.32
2016-04-25,2.6999999999999997,46.800000000000004,56.96
2016-04-26,5.7,74.10000000000001,59.52
2016-04-27,6.3,18.72,58.24
2016-04-28,6.1499999999999995,19.5,58.24
2016-04-29,5.25,78.0,51.2
2016-04-30,1.5,22.62,40.96
2016-05-01,0.0,48.24,39.0
2016-05-02,8.36,60.300000000000004,49.8
2016-05-03,5.61,20.1,55.199999999999996
2016-05-04,5.28,59.63,53.4
2016-05-05,4.95,61.64,51.0
2016-05-06,9.35,21.44,49.199999999999996
2016-05-07,3.3,25.46,33.0
2016-05-08,1.1,25.46,37.8
2016-05-09,6.2700000000000005,41.54,57.599999999999994
2016-05-10,7.92,20.1,60.0
2016-05-11,6.71,20.77,51.6
2016-05-12,5.39,31.490000000000002,51.0
2016-05-13,3.3,42.88,50.4
2016-05-14,1.1,0.0,36.0
2016-05-15,0.55,62.980000000000004,34.8
2016-05-16,10.89,20.77,54.6
2016-05-17,8.8,30.150000000000002,54.0
2016-05-18,5.83,41.54,57.0
2016-05-19,8.58,20.77,55.199999999999996
2016-05-20,6.16,43.550000000000004,53.4
2016-05-21,0.55,26.130000000000003,34.8
2016-05-22,0.0,25.46,37.8
2016-05-23,4.95,42.21,55.8
2016-05-24,10.45,20.77,55.199999999999996
2016-05-25,11.0,0.0,53.4
2016-05-26,3.74,32.160000000000004,49.199999999999996
2016-05-27,8.8,67.0,45.0
2016-05-28,3.41,26.130000000000003,33.6
2016-05-29,2.31,26.8,31.2
2016-05-30,1.1,24.790000000000003,35.4
2016-05-31,7.7,31.490000000000002,54.0
2016-06-01,2.55,11.28,39.69
2016-06-02,1.65,17.39,37.17
2016-06-03,2.6999999999999997,11.75,34.65
2016-06-04,0.0,0.0,23.94
2016-06-05,1.05,13.629999999999999,23.94
2016-06-06,2.25,11.75,39.69
2016-06-07,1.95,11.28,39.06
2016-06-08,3.0,11.75,36.54
2016-06-09,2.25,29.61,37.8
2016-06-10,1.3499999999999999,12.219999999999999,34.02
2016-06-11,1.7999999999999998,14.1,22.05
2016-06-12,0.3,14.1,23.94
2016-06-13,15.0,47.0,63.0
2016-06-14,7.6499999999999995,11.75,45.99
2016-06-15,4.35,17.86,40.95
2016-06-16,4.35,11.75,42.21
2016-06-17,2.25,12.219999999999999,37.17
2016-06-18,2.6999999999999997,14.1,25.2
2016-06-19,1.65,21.619999999999997,25.2
2016-06-20,3.4499999999999997,0.0,36.54
2016-06-21,4.05,23.5,40.95
2016-06-22,2.25,23.97,37.8
2016-06-23,3.9,23.97,38.43
2016-06-24,9.299999999999999,12.219999999999999,35.28
2016-06-25,0.3,28.669999999999998,27.72
2016-06-26,0.6,0.0,26.46
2016-06-27,4.05,11.75,37.17
2016-06-28,5.7,11.75,40.32
2016-06-29,3.0,11.75,38.43
2016-06-30,4.05,23.97,37.8
2016-07-01,1.76,21.119999999999997,48.97
2016-07-02,0.32,24.48,33.04
2016-07-03,0.96,34.08,30.68
2016-07-04,0.8,16.32,34.809999999999995
2016-07-05,2.08,14.399999999999999,54.87
2016-07-06,3.52,13.92,52.51
2016-07-07,4.64,0.0,53.099999999999994
2016-07-08,4.16,0.0,50.739999999999995
2016-07-09,0.64,15.84,32.449999999999996
